id_rosstat,indicator,vozr,grup_2,migr,mest,nazsostv,region,mun_level,munr,municipality,oktmo,mun_type,year,value,unit,period
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ракитянский муниципальный район,Ракитянский муниципальный район,14648000,10,2014,421,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ракитянский муниципальный район,Ракитянский муниципальный район,14648000,10,2015,391,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ракитянский муниципальный район,Ракитянский муниципальный район,14648000,10,2016,370,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ракитянский муниципальный район,Ракитянский муниципальный район,14648000,10,2017,291,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ракитянский муниципальный район,Ракитянский муниципальный район,14648000,10,2018,302,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ракитянский муниципальный район,Ракитянский муниципальный район,14648000,10,2019,304,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ракитянский муниципальный район,Ракитянский муниципальный район,14648000,10,2020,269,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ровеньский муниципальный район,Ровеньский муниципальный район,14650000,10,2010,283,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ровеньский муниципальный район,Ровеньский муниципальный район,14650000,10,2011,327,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ровеньский муниципальный район,Ровеньский муниципальный район,14650000,10,2012,294,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ровеньский муниципальный район,Ровеньский муниципальный район,14650000,10,2013,329,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ровеньский муниципальный район,Ровеньский муниципальный район,14650000,10,2014,297,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ровеньский муниципальный район,Ровеньский муниципальный район,14650000,10,2015,290,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ровеньский муниципальный район,Ровеньский муниципальный район,14650000,10,2016,252,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ровеньский муниципальный район,Ровеньский муниципальный район,14650000,10,2017,220,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ровеньский муниципальный район,Ровеньский муниципальный район,14650000,10,2018,209,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ровеньский муниципальный район,Ровеньский муниципальный район,14650000,10,2019,191,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Ровеньский муниципальный район,Ровеньский муниципальный район,14650000,10,2020,174,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Чернянский муниципальный район,Чернянский муниципальный район,14654000,10,2010,383,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Чернянский муниципальный район,Чернянский муниципальный район,14654000,10,2011,404,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Чернянский муниципальный район,Чернянский муниципальный район,14654000,10,2012,404,чел,Значение показателя за год
8112003,Число родившихся (без мертворожденных),,,,,,Белгородская область,1,Чернянский муниципальный район,Чернянский муниципальный район,14654000,10,2013,378,чел,Значение показателя за год
